dir	ps	h	m	opts
runs/Notagseqlengthcomps/13_M0.7_steepness0.8_PS1	1	0.8	0.7	Notagseqlengthcomps
runs/Notagseqlengthcomps/14_M0.8_steepness0.8_PS1	1	0.8	0.8	Notagseqlengthcomps
runs/Notagseqlengthcomps/15_M0.9_steepness0.8_PS1	1	0.8	0.9	Notagseqlengthcomps
runs/Notagseqlengthcomps/16_M0.7_steepness0.9_PS1	1	0.9	0.7	Notagseqlengthcomps
runs/Notagseqlengthcomps/17_M0.8_steepness0.9_PS1	1	0.9	0.8	Notagseqlengthcomps
runs/Notagseqlengthcomps/18_M0.9_steepness0.9_PS1	1	0.9	0.9	Notagseqlengthcomps
runs/Notagseqlengthcomps/1_M0.7_steepness0.7_PS0	0	0.7	0.7	Notagseqlengthcomps
runs/Notagseqlengthcomps/2_M0.8_steepness0.7_PS0	0	0.7	0.8	Notagseqlengthcomps
runs/Notagseqlengthcomps/3_M0.9_steepness0.7_PS0	0	0.7	0.9	Notagseqlengthcomps
runs/Notagseqlengthcomps/4_M0.7_steepness0.8_PS0	0	0.8	0.7	Notagseqlengthcomps
runs/Notagseqlengthcomps/5_M0.8_steepness0.8_PS0	0	0.8	0.8	Notagseqlengthcomps
runs/Notagseqlengthcomps/6_M0.9_steepness0.8_PS0	0	0.8	0.9	Notagseqlengthcomps
runs/Notagseqlengthcomps/7_M0.7_steepness0.9_PS0	0	0.9	0.7	Notagseqlengthcomps
runs/Notagseqlengthcomps/8_M0.8_steepness0.9_PS0	0	0.9	0.8	Notagseqlengthcomps
runs/Notagseqlengthcomps/9_M0.9_steepness0.9_PS0	0	0.9	0.9	Notagseqlengthcomps
runs/updated2014CatchesruneqweightsPSetc/10_M0.7_steepness0.7_PS1	1	0.7	0.7	updated2014CatchesruneqweightsPSetc
runs/updated2014CatchesruneqweightsPSetc/11_M0.8_steepness0.7_PS1	1	0.7	0.8	updated2014CatchesruneqweightsPSetc
runs/updated2014CatchesruneqweightsPSetc/12_M0.9_steepness0.7_PS1	1	0.7	0.9	updated2014CatchesruneqweightsPSetc
runs/updated2014CatchesruneqweightsPSetc/13_M0.7_steepness0.8_PS1	1	0.8	0.7	updated2014CatchesruneqweightsPSetc
runs/updated2014CatchesruneqweightsPSetc/14_M0.8_steepness0.8_PS1	1	0.8	0.8	updated2014CatchesruneqweightsPSetc
runs/updated2014CatchesruneqweightsPSetc/15_M0.9_steepness0.8_PS1	1	0.8	0.9	updated2014CatchesruneqweightsPSetc
runs/updated2014CatchesruneqweightsPSetc/16_M0.7_steepness0.9_PS1	1	0.9	0.7	updated2014CatchesruneqweightsPSetc
runs/updated2014CatchesruneqweightsPSetc/17_M0.8_steepness0.9_PS1	1	0.9	0.8	updated2014CatchesruneqweightsPSetc
runs/updated2014CatchesruneqweightsPSetc/18_M0.9_steepness0.9_PS1	1	0.9	0.9	updated2014CatchesruneqweightsPSetc
runs/updated2014CatchesruneqweightsPSetc/1_M0.7_steepness0.7_PS0	0	0.7	0.7	updated2014CatchesruneqweightsPSetc
runs/updated2014CatchesruneqweightsPSetc/2_M0.8_steepness0.7_PS0	0	0.7	0.8	updated2014CatchesruneqweightsPSetc
runs/updated2014CatchesruneqweightsPSetc/3_M0.9_steepness0.7_PS0	0	0.7	0.9	updated2014CatchesruneqweightsPSetc
runs/updated2014CatchesruneqweightsPSetc/4_M0.7_steepness0.8_PS0	0	0.8	0.7	updated2014CatchesruneqweightsPSetc
runs/updated2014CatchesruneqweightsPSetc/5_M0.8_steepness0.8_PS0	0	0.8	0.8	updated2014CatchesruneqweightsPSetc
runs/updated2014CatchesruneqweightsPSetc/6_M0.9_steepness0.8_PS0	0	0.8	0.9	updated2014CatchesruneqweightsPSetc
runs/updated2014CatchesruneqweightsPSetc/7_M0.7_steepness0.9_PS0	0	0.9	0.7	updated2014CatchesruneqweightsPSetc
runs/updated2014CatchesruneqweightsPSetc/8_M0.8_steepness0.9_PS0	0	0.9	0.8	updated2014CatchesruneqweightsPSetc
runs/updated2014CatchesruneqweightsPSetc/9_M0.9_steepness0.9_PS0	0	0.9	0.9	updated2014CatchesruneqweightsPSetc
runs/updated2014lowerwtstagandlf/10_M0.7_steepness0.7_PS1	1	0.7	0.7	updated2014lowerwtstagandlf
runs/updated2014lowerwtstagandlf/11_M0.8_steepness0.7_PS1	1	0.7	0.8	updated2014lowerwtstagandlf
runs/updated2014lowerwtstagandlf/12_M0.9_steepness0.7_PS1	1	0.7	0.9	updated2014lowerwtstagandlf
runs/updated2014lowerwtstagandlf/13_M0.7_steepness0.8_PS1	1	0.8	0.7	updated2014lowerwtstagandlf
runs/updated2014lowerwtstagandlf/14_M0.8_steepness0.8_PS1	1	0.8	0.8	updated2014lowerwtstagandlf
runs/updated2014lowerwtstagandlf/15_M0.9_steepness0.8_PS1	1	0.8	0.9	updated2014lowerwtstagandlf
runs/updated2014lowerwtstagandlf/16_M0.7_steepness0.9_PS1	1	0.9	0.7	updated2014lowerwtstagandlf
runs/updated2014lowerwtstagandlf/17_M0.8_steepness0.9_PS1	1	0.9	0.8	updated2014lowerwtstagandlf
