year	quarter	region	method	class	proportion	size
1983	0	3	2	17	0.008651	578
1983	0	3	2	18	0.012111	578
1983	0	3	2	19	0.00692	578
1983	0	3	2	20	0.015571	578
1983	0	3	2	21	0.013841	578
1983	0	3	2	22	0.043253	578
1983	0	3	2	23	0.036332	578
1983	0	3	2	24	0.074394	578
1983	0	3	2	25	0.16609	578
1983	0	3	2	26	0.119377	578
1983	0	3	2	27	0.138408	578
1983	0	3	2	28	0.16782	578
1983	0	3	2	29	0.100346	578
1983	0	3	2	30	0.057093	578
1983	0	3	2	31	0.029412	578
1983	0	3	2	32	0.00692	578
1983	0	3	2	33	0.00346	578
1983	0	3	2	34	0	578
1983	0	3	2	35	0	578
1983	0	3	2	36	0	578
1983	0	3	2	37	0	578
1983	0	3	2	38	0	578
1983	0	3	2	39	0	578
1983	1	1	0	10	0	700058
1983	1	1	0	11	0	700058
1983	1	1	0	12	0	700058
1983	1	1	0	13	0	700058
1983	1	1	0	14	0	700058
1983	1	1	0	15	0	700058
1983	1	1	0	16	0.026184	700058
1983	1	1	0	17	0.05384	700058
1983	1	1	0	18	0.055345	700058
1983	1	1	0	19	0.044421	700058
1983	1	1	0	20	0.017186	700058
1983	1	1	0	21	0.013226	700058
1983	1	1	0	22	0.027435	700058
1983	1	1	0	23	0.041129	700058
1983	1	1	0	24	0.111895	700058
1983	1	1	0	25	0.134207	700058
1983	1	1	0	26	0.124041	700058
1983	1	1	0	27	0.109204	700058
1983	1	1	0	28	0.067902	700058
1983	1	1	0	29	0.066966	700058
1983	1	1	0	30	0.043804	700058
1983	1	1	0	31	0.015777	700058
1983	1	1	0	32	0.008062	700058
1983	1	1	0	33	0.019231	700058
1983	1	1	0	34	0.017759	700058
1983	1	1	0	35	0.001618	700058
1983	1	1	0	36	0.000371	700058
1983	1	1	0	37	0.00038	700058
1983	1	1	0	38	1.7e-05	700058
1983	1	1	0	39	0	700058
1983	1	3	2	10	0	510
1983	1	3	2	11	0	510
1983	1	3	2	12	0	510
1983	1	3	2	13	0	510
1983	1	3	2	14	0	510
1983	1	3	2	15	0	510
1983	1	3	2	16	0	510
1983	1	3	2	17	0.001961	510
1983	1	3	2	18	0.007843	510
1983	1	3	2	19	0.003922	510
1983	1	3	2	20	0.02549	510
1983	1	3	2	21	0.015686	510
1983	1	3	2	22	0.019608	510
1983	1	3	2	23	0.029412	510
1983	1	3	2	24	0.047059	510
1983	1	3	2	25	0.101961	510
1983	1	3	2	26	0.096078	510
1983	1	3	2	27	0.14902	510
1983	1	3	2	28	0.156863	510
1983	1	3	2	29	0.111765	510
1983	1	3	2	30	0.129412	510
1983	1	3	2	31	0.078431	510
1983	1	3	2	32	0.017647	510
1983	1	3	2	33	0.005882	510
1983	1	3	2	34	0.001961	510
1983	1	3	2	35	0	510
1983	1	3	2	36	0	510
1983	1	3	2	37	0	510
1983	1	3	2	38	0	510
1983	1	3	2	39	0	510
1983	1	3	3	10	0	160
1983	1	3	3	11	0	160
1983	1	3	3	12	0	160
1983	1	3	3	13	0	160
1983	1	3	3	14	0	160
1983	1	3	3	15	0	160
1983	1	3	3	16	0	160
1983	1	3	3	17	0.00625	160
1983	1	3	3	18	0.01875	160
1983	1	3	3	19	0.00625	160
1983	1	3	3	20	0.00625	160
1983	1	3	3	21	0	160
1983	1	3	3	22	0.06875	160
1983	1	3	3	23	0.06875	160
1983	1	3	3	24	0.04375	160
1983	1	3	3	25	0.075	160
1983	1	3	3	26	0.125	160
1983	1	3	3	27	0.13125	160
1983	1	3	3	28	0.15	160
1983	1	3	3	29	0.09375	160
1983	1	3	3	30	0.075	160
1983	1	3	3	31	0.06875	160
1983	1	3	3	32	0.01875	160
1983	1	3	3	33	0.01875	160
1983	1	3	3	34	0.01875	160
1983	1	3	3	35	0.00625	160
1983	1	3	3	36	0	160
1983	1	3	3	37	0	160
1983	1	3	3	38	0	160
1983	1	3	3	39	0	160
1983	2	1	0	10	0	192726
1983	2	1	0	11	0	192726
1983	2	1	0	12	0	192726
1983	2	1	0	13	0	192726
1983	2	1	0	14	0	192726
1983	2	1	0	15	0	192726
1983	2	1	0	16	0.010777	192726
1983	2	1	0	17	0.01925	192726
1983	2	1	0	18	0.008966	192726
1983	2	1	0	19	0.001245	192726
1983	2	1	0	20	0.00138	192726
1983	2	1	0	21	0.016106	192726
1983	2	1	0	22	0.057128	192726
1983	2	1	0	23	0.077431	192726
1983	2	1	0	24	0.100407	192726
1983	2	1	0	25	0.108838	192726
1983	2	1	0	26	0.131591	192726
1983	2	1	0	27	0.148304	192726
1983	2	1	0	28	0.111889	192726
1983	2	1	0	29	0.073026	192726
1983	2	1	0	30	0.0444	192726
1983	2	1	0	31	0.037878	192726
1983	2	1	0	32	0.020729	192726
1983	2	1	0	33	0.00714	192726
1983	2	1	0	34	0.005069	192726
1983	2	1	0	35	0.010782	192726
1983	2	1	0	36	0.007664	192726
1983	2	1	0	37	0	192726
1983	2	1	0	38	0	192726
1983	2	1	0	39	0	192726
1983	3	1	0	10	0	1546642
1983	3	1	0	11	0	1546642
1983	3	1	0	12	0	1546642
1983	3	1	0	13	0	1546642
1983	3	1	0	14	0	1546642
1983	3	1	0	15	0	1546642
1983	3	1	0	16	0	1546642
1983	3	1	0	17	0.002449	1546642
1983	3	1	0	18	0.002449	1546642
1983	3	1	0	19	0	1546642
1983	3	1	0	20	0	1546642
1983	3	1	0	21	0.02162	1546642
1983	3	1	0	22	0.094497	1546642
1983	3	1	0	23	0.127905	1546642
1983	3	1	0	24	0.108042	1546642
1983	3	1	0	25	0.097196	1546642
1983	3	1	0	26	0.129613	1546642
1983	3	1	0	27	0.150341	1546642
1983	3	1	0	28	0.114889	1546642
1983	3	1	0	29	0.065292	1546642
1983	3	1	0	30	0.025307	1546642
1983	3	1	0	31	0.021634	1546642
1983	3	1	0	32	0.015323	1546642
1983	3	1	0	33	0.003826	1546642
1983	3	1	0	34	0.001665	1546642
1983	3	1	0	35	0.009597	1546642
1983	3	1	0	36	0.008215	1546642
1983	3	1	0	37	0.000142	1546642
1983	3	1	0	38	0	1546642
1983	3	1	0	39	0	1546642
1983	3	2	1	10	0	256
1983	3	2	1	11	0	256
1983	3	2	1	12	0	256
1983	3	2	1	13	0	256
1983	3	2	1	14	0	256
1983	3	2	1	15	0	256
1983	3	2	1	16	0.03125	256
1983	3	2	1	17	0.03125	256
1983	3	2	1	18	0.023438	256
1983	3	2	1	19	0.0625	256
1983	3	2	1	20	0.0625	256
1983	3	2	1	21	0.0625	256
1983	3	2	1	22	0.046875	256
1983	3	2	1	23	0.03125	256
1983	3	2	1	24	0.070312	256
1983	3	2	1	25	0.195312	256
1983	3	2	1	26	0.210938	256
1983	3	2	1	27	0.101562	256
1983	3	2	1	28	0.015625	256
1983	3	2	1	29	0.03125	256
1983	3	2	1	30	0.023438	256
1983	3	2	1	31	0	256
1983	3	2	1	32	0	256
1983	3	2	1	33	0	256
1983	3	2	1	34	0	256
1983	3	2	1	35	0	256
1983	3	2	1	36	0	256
1983	3	2	1	37	0	256
1983	3	2	1	38	0	256
1983	3	2	1	39	0	256
1984	0	1	0	10	0	1249118
1984	0	1	0	11	0	1249118
1984	0	1	0	12	0	1249118
1984	0	1	0	13	0	1249118
1984	0	1	0	14	0.001568	1249118
1984	0	1	0	15	0.002672	1249118
1984	0	1	0	16	0.012259	1249118
1984	0	1	0	17	0.025561	1249118
1984	0	1	0	18	0.023425	1249118
1984	0	1	0	19	0.021614	1249118
1984	0	1	0	20	0.019221	1249118
1984	0	1	0	21	0.030767	1249118
1984	0	1	0	22	0.078745	1249118
1984	0	1	0	23	0.109003	1249118
1984	0	1	0	24	0.110447	1249118
1984	0	1	0	25	0.118641	1249118
1984	0	1	0	26	0.131634	1249118
1984	0	1	0	27	0.118352	1249118
1984	0	1	0	28	0.081107	1249118
1984	0	1	0	29	0.043491	1249118
1984	0	1	0	30	0.023783	1249118
1984	0	1	0	31	0.017611	1249118
1984	0	1	0	32	0.007667	1249118
1984	0	1	0	33	0.004974	1249118
1984	0	1	0	34	0.005734	1249118
1984	0	1	0	35	0.006355	1249118
1984	0	1	0	36	0.003854	1249118
1984	0	1	0	37	0.000751	1249118
1984	0	1	0	38	0.000346	1249118
1984	0	1	0	39	0.00021	1249118
1984	0	2	1	10	0	460
1984	0	2	1	11	0	460
1984	0	2	1	12	0	460
1984	0	2	1	13	0	460
1984	0	2	1	14	0.008696	460
1984	0	2	1	15	0.008696	460
1984	0	2	1	16	0.065217	460
1984	0	2	1	17	0.017391	460
1984	0	2	1	18	0.034783	460
1984	0	2	1	19	0.078261	460
1984	0	2	1	20	0.186957	460
1984	0	2	1	21	0.13913	460
1984	0	2	1	22	0.104348	460
1984	0	2	1	23	0.104348	460
1984	0	2	1	24	0.06087	460
1984	0	2	1	25	0.113043	460
1984	0	2	1	26	0.06087	460
1984	0	2	1	27	0.013043	460
1984	0	2	1	28	0	460
1984	0	2	1	29	0.004348	460
1984	0	2	1	30	0	460
1984	0	2	1	31	0	460
1984	0	2	1	32	0	460
1984	0	2	1	33	0	460
1984	0	2	1	34	0	460
1984	0	2	1	35	0	460
1984	0	2	1	36	0	460
1984	0	2	1	37	0	460
1984	0	2	1	38	0	460
1984	0	2	1	39	0	460
1984	0	3	2	10	0	2000
1984	0	3	2	11	0	2000
1984	0	3	2	12	0	2000
1984	0	3	2	13	0	2000
1984	0	3	2	14	0	2000
1984	0	3	2	15	0	2000
1984	0	3	2	16	0.001	2000
1984	0	3	2	17	0.001	2000
1984	0	3	2	18	5e-04	2000
1984	0	3	2	19	0.0025	2000
1984	0	3	2	20	0.0035	2000
1984	0	3	2	21	0.012	2000
1984	0	3	2	22	0.0285	2000
1984	0	3	2	23	0.057	2000
1984	0	3	2	24	0.095	2000
1984	0	3	2	25	0.074	2000
1984	0	3	2	26	0.0675	2000
1984	0	3	2	27	0.089	2000
1984	0	3	2	28	0.107	2000
1984	0	3	2	29	0.135	2000
1984	0	3	2	30	0.1095	2000
1984	0	3	2	31	0.077	2000
1984	0	3	2	32	0.0595	2000
1984	0	3	2	33	0.034	2000
1984	0	3	2	34	0.0215	2000
1984	0	3	2	35	0.0155	2000
1984	0	3	2	36	0.0065	2000
1984	0	3	2	37	0.0025	2000
1984	0	3	2	38	5e-04	2000
1984	0	3	2	39	0	2000
1984	1	0	0	10	0	313674
1984	1	0	0	11	0	313674
1984	1	0	0	12	0	313674
1984	1	0	0	13	0	313674
1984	1	0	0	14	0	313674
1984	1	0	0	15	0.014566	313674
1984	1	0	0	16	0.02173	313674
1984	1	0	0	17	0.025332	313674
1984	1	0	0	18	0.049185	313674
1984	1	0	0	19	0.047639	313674
1984	1	0	0	20	0.038479	313674
1984	1	0	0	21	0.06113	313674
1984	1	0	0	22	0.068699	313674
1984	1	0	0	23	0.06817	313674
1984	1	0	0	24	0.113838	313674
1984	1	0	0	25	0.134388	313674
1984	1	0	0	26	0.100576	313674
1984	1	0	0	27	0.072097	313674
1984	1	0	0	28	0.063556	313674
1984	1	0	0	29	0.054324	313674
1984	1	0	0	30	0.03548	313674
1984	1	0	0	31	0.018701	313674
1984	1	0	0	32	0.005356	313674
1984	1	0	0	33	0.000552	313674
1984	1	0	0	34	0.000988	313674
1984	1	0	0	35	0.002005	313674
1984	1	0	0	36	0.001017	313674
1984	1	0	0	37	0.001097	313674
1984	1	0	0	38	0.001097	313674
1984	1	0	0	39	0	313674
1984	1	1	0	10	0	1957378
1984	1	1	0	11	0	1957378
1984	1	1	0	12	0	1957378
1984	1	1	0	13	0	1957378
1984	1	1	0	14	0.000152	1957378
1984	1	1	0	15	0.008009	1957378
1984	1	1	0	16	0.019847	1957378
1984	1	1	0	17	0.028476	1957378
1984	1	1	0	18	0.045957	1957378
1984	1	1	0	19	0.048659	1957378
1984	1	1	0	20	0.039905	1957378
1984	1	1	0	21	0.045956	1957378
1984	1	1	0	22	0.063639	1957378
1984	1	1	0	23	0.089283	1957378
