data_year	location	dispersion
1984	0.888948732393716	0.3
1985	0.90572134998605	0.3
1986	1.24117370183274	0.3
1987	1.03990229072472	0.3
1988	1.52630820090242	0.3
1989	0.972811820355387	0.3
1990	1.05667490831706	0.3
1991	1.07344752590939	0.3
1992	1.09022014350173	0.3
1993	1.09022014350173	0.3
1994	1.1740832314634	0.3
1995	0.90572134998605	0.3
1996	0.888948732393716	0.3
1997	0.704449938878039	0.3
1998	0.821858262024379	0.3
1999	0.989584437947721	0.3
2000	1.37535464257141	0.3
2001	1.14053799627873	0.3
2002	1.67726175923343	0.3
2003	1.19085584905573	0.3
2004	1.14053799627873	0.3
2005	1.10699276109406	0.3
2006	1.07344752590939	0.3
2007	0.687677321285705	0.3
2008	0.78831302683971	0.3
2009	1.09022014350173	0.3
2010	1.00635705554006	0.3
2011	0.821858262024379	0.3
2012	0.637359468508702	0.3
2013	0.67090470369337	0.3
