name	label	value
catches	1952-2-2-0	0	
catches	1952-2-2-1	224	
catches	1952-2-2-2	353	
catches	1952-2-2-3	510	
catches	1952-2-2-4	30	
catches	1952-3-0-0	0	
catches	1952-3-0-1	56	
catches	1952-3-0-2	130	
catches	1952-3-0-3	59	
catches	1952-3-0-4	0	
catches	1952-3-1-0	0	
catches	1952-3-1-1	2000	
catches	1952-3-1-2	0	
catches	1952-3-1-3	0	
catches	1952-3-1-4	0	
catches	1952-3-2-0	0	
catches	1952-3-2-1	224	
catches	1952-3-2-2	353	
catches	1952-3-2-3	510	
catches	1952-3-2-4	49	
catches	1953-0-0-0	0	
catches	1953-0-0-1	55	
catches	1953-0-0-2	192	
catches	1953-0-0-3	60	
catches	1953-0-0-4	0	
catches	1953-0-1-0	0	
catches	1953-0-1-1	2250	
catches	1953-0-1-2	0	
catches	1953-0-1-3	0	
catches	1953-0-1-4	0	
catches	1953-0-2-0	0	
catches	1953-0-2-1	161	
catches	1953-0-2-2	332	
catches	1953-0-2-3	499	
catches	1953-0-2-4	27	
catches	1953-1-0-0	0	
catches	1953-1-0-1	55	
catches	1953-1-0-2	192	
catches	1953-1-0-3	60	
catches	1953-1-0-4	0	
catches	1953-1-1-0	0	
catches	1953-1-1-1	2250	
catches	1953-1-1-2	0	
catches	1953-1-1-3	0	
catches	1953-1-1-4	0	
catches	1953-1-2-0	0	
catches	1953-1-2-1	161	
catches	1953-1-2-2	332	
catches	1953-1-2-3	499	
catches	1953-1-2-4	22	
catches	1953-2-0-0	0	
catches	1953-2-0-1	55	
catches	1953-2-0-2	192	
catches	1953-2-0-3	60	
catches	1953-2-0-4	0	
catches	1953-2-1-0	0	
catches	1953-2-1-1	2250	
catches	1953-2-1-2	0	
catches	1953-2-1-3	0	
catches	1953-2-1-4	0	
catches	1953-2-2-0	0	
catches	1953-2-2-1	161	
catches	1953-2-2-2	332	
catches	1953-2-2-3	499	
catches	1953-2-2-4	22	
catches	1953-3-0-0	0	
catches	1953-3-0-1	55	
catches	1953-3-0-2	192	
catches	1953-3-0-3	60	
catches	1953-3-0-4	0	
catches	1953-3-1-0	0	
catches	1953-3-1-1	2250	
catches	1953-3-1-2	0	
catches	1953-3-1-3	0	
catches	1953-3-1-4	0	
catches	1953-3-2-0	0	
catches	1953-3-2-1	161	
catches	1953-3-2-2	332	
catches	1953-3-2-3	499	
catches	1953-3-2-4	52	
catches	1954-0-0-0	0	
catches	1954-0-0-1	56	
catches	1954-0-0-2	198	
catches	1954-0-0-3	61	
catches	1954-0-0-4	0	
catches	1954-0-1-0	0	
catches	1954-0-1-1	2250	
catches	1954-0-1-2	0	
catches	1954-0-1-3	0	
catches	1954-0-1-4	0	
catches	1954-0-2-0	0	
catches	1954-0-2-1	151	
catches	1954-0-2-2	391	
catches	1954-0-2-3	604	
